Youtuber,category,Title,Country,Abbreviation,channel_type,created_month,subscribers,video views,uploads,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_date
karameeshchannel,Entertainment,karameeshchannel,Jordan,JO,Music,Jan,13900000,9106781518.0,2254,87639000.0,21900.0,350600.0,262900.0,4200000.0,100000.0,2012.0,18.0
Darkar Company Studios,Film & Animation,Darkar Company Studios,United States,US,Comedy,Feb,13900000,2244318380.0,183,4598000.0,1100.0,18400.0,13800.0,220700.0,400000.0,2009.0,15.0
Dental Digest,People & Blogs,Dental Digest,Unknown,,People,Aug,13900000,7450345720.0,324,231562000.0,57900.0,926200.0,694700.0,11100000.0,300000.0,2020.0,12.0
T-Series Regional,Entertainment,T-Series Regional,India,IN,Music,Feb,13900000,5217553897.0,15075,33484000.0,8400.0,133900.0,100500.0,1600000.0,100000.0,2011.0,14.0
ADEL et SAMI,Entertainment,ADEL et SAMI,United States,US,Entertainment,Mar,13900000,5465532801.0,503,26883000.0,6700.0,107500.0,80600.0,1300000.0,200000.0,2018.0,12.0
Jamuna TV,News & Politics,jamuna tv24,Bangladesh,BD,Entertainment,Feb,13900000,12129583055.0,6,1.0,0.0,0.0,0.0,0.05,200000.0,2021.0,10.0
Atlantic Records,Music,Atlantic Records,United States,US,Music,Dec,13900000,12513842343.0,1660,97284000.0,24300.0,389100.0,291900.0,4700000.0,100000.0,2006.0,15.0
ýýýýýýýý ýý ýýýýýýýýýýýý,unknown,ýýýýýýýý ýý ýýýýýýýýýýýý,United States,US,People,Oct,13900000,8451754769.0,504,114261000.0,28600.0,457000.0,342800.0,5500000.0,200000.0,2018.0,12.0
Veritasium,Education,Veritasium,United States,US,Education,Jul,13900000,2165885634.0,369,44149000.0,11000.0,176600.0,132400.0,2100000.0,200000.0,2010.0,21.0
Alexa Rivera,Howto & Style,Alexa Rivera,Unknown,,Entertainment,Aug,13900000,3193226072.0,288,142760000.0,35700.0,571000.0,428300.0,6900000.0,300000.0,2010.0,21.0
Airrack,Entertainment,Airrack,United States,US,Entertainment,Jan,13800000,2224911030.0,173,99654000.0,24900.0,398600.0,299000.0,4800000.0,300000.0,2015.0,3.0
Hacksmith Industries,Science & Technology,Hacksmith Industries,Canada,CA,Tech,Apr,13800000,1820559912.0,887,83943000.0,21000.0,335800.0,251800.0,4000000.0,100000.0,2006.0,20.0
JD Pantoja,People & Blogs,JD Pantoja,Unknown,,Music,Jun,13800000,1493776391.0,16,13533000.0,3400.0,54100.0,40600.0,649600.0,100000.0,2017.0,5.0
