Youtuber,category,Title,Country,Abbreviation,channel_type,created_month,subscribers,video views,uploads,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_date
RaptorGamer,People & Blogs,RaptorGamer,Ecuador,EC,Games,Jul,13100000,2879263916.0,1444,62909000.0,15700.0,251600.0,188700.0,3000000.0,300000.0,2016.0,16.0
RedeTV,Entertainment,RedeTV,Brazil,BR,Entertainment,Oct,13100000,5333569294.0,36760,17588000.0,4400.0,70400.0,52800.0,844200.0,1300000.0,2011.0,18.0
twenty one pilots,Music,twenty one pilots,United States,US,Music,Sep,13100000,5264039679.0,194,50922000.0,12700.0,203700.0,152800.0,2400000.0,700000.0,2009.0,5.0
DJ Khaled,Music,DjKhaled,Samoa,WS,Music,May,13100000,6637820731.0,12,379.0,0.09,2.0,1.0,18.0,3.0,2006.0,27.0
Davie504,Entertainment,Davie504,Italy,IT,Entertainment,May,13000000,2683297849.0,838,29870000.0,7500.0,119500.0,89600.0,1400000.0,100000.0,2011.0,18.0
Everson Zoio,Comedy,Everson Zoio,Brazil,BR,Entertainment,Mar,13000000,1024467771.0,625,3052000.0,763.0,12200.0,9200.0,146500.0,700000.0,2009.0,26.0
Calon Sarjana,Entertainment,Calon Sarjana,Indonesia,ID,Entertainment,Jan,13000000,10664585.0,29,2292000000.0,0.0,0.0,0.0,0.0,300000.0,2016.0,20.0
Lofi Girl,Music,Lofi Girl,France,FR,Music,Mar,13000000,1698279553.0,409,30471000.0,7600.0,121900.0,91400.0,1500000.0,100000.0,2015.0,18.0
Jomy Production,Entertainment,SRK Edie soon,India,IN,,Mar,13000000,5057163256.0,8,2.0,0.0,0.01,0.01,0.1,1100000.0,2021.0,18.0
GH'S,Gaming,GH'S,South Korea,KR,Games,Jul,13000000,8739174649.0,510,1081000000.0,270300.0,4300000.0,3200000.0,51900000.0,1000000.0,2020.0,7.0
JesseAndMike,Entertainment,JesseAndMike,United States,US,Entertainment,Apr,13000000,9999238237.0,716,41109000.0,10300.0,164400.0,123300.0,2000000.0,100000.0,2007.0,29.0
Wolfoo Channel,unknown,Wolfoo Channel,Pakistan,PK,People,Aug,13000000,301547793.0,22,590.0,0.15,2.0,2.0,28.0,8.0,2021.0,11.0
Susy Mouriz,Entertainment,Susy Mouriz,Mexico,MX,Entertainment,Mar,13000000,6270909026.0,1299,368437000.0,92100.0,1500000.0,1100000.0,17700000.0,600000.0,2017.0,18.0
7 Minutoz,Music,7 Minutoz,Brazil,BR,Music,Jun,13000000,4349562794.0,521,29526000.0,7400.0,118100.0,88600.0,1400000.0,200000.0,2012.0,4.0
The LaBrant Fam,Comedy,The LaBrant Fam,United States,US,People,Aug,13000000,4637474071.0,612,42412000.0,0.0,0.0,0.0,0.0,1200000.0,2012.0,24.0
Pastor Antï¿½ï¿½ï¿½ï¿½ï,People & Blogs,Pastor Antï¿½ï¿½ï¿½ï¿½ï,Brazil,BR,People,Jan,12900000,2112274210.0,4712,31796000.0,7900.0,127200.0,95400.0,1500000.0,100000.0,2013.0,19.0
Matheus Yurley,Entertainment,Matheus Yurley,Brazil,BR,Entertainment,Jan,12900000,140022442.0,69,147626.0,37.0,591.0,443.0,7100.0,200000.0,2015.0,27.0
gymvirtual,Sports,gymvirtual,Spain,ES,Sports,Nov,12900000,2509752944.0,1572,11993000.0,3000.0,48000.0,36000.0,575700.0,100000.0,2010.0,1.0
BIBOï¿½ï¿½ï¿½ï¿½ï,Entertainment,BIBOï¿½ï¿½ï¿½ï¿½ï,South Korea,KR,Entertainment,Aug,12900000,3178222797.0,193,4001000.0,1000.0,16000.0,12000.0,192100.0,200000.0,2016.0,8.0
Top Viral Talent,Entertainment,Top Viral Talent,United States,US,Entertainment,Jan,12900000,3643698504.0,1598,29379000.0,7300.0,117500.0,88100.0,1400000.0,100000.0,2014.0,2.0
Akon,Music,Akon,United States,US,Music,Nov,12900000,6300933122.0,39,91240000.0,22800.0,365000.0,273700.0,4400000.0,100000.0,2005.0,5.0
AlArabiya ï¿½ï¿½ï¿½ï¿½ï¿,People & Blogs,AlArabiya ï¿½ï¿½ï¿½ï¿½ï¿,United Arab Emirates,AE,News,Sep,12900000,7520379951.0,169304,80219000.0,20100.0,320900.0,240700.0,3900000.0,100000.0,2006.0,19.0
Rauw Alejandro,Music,Rauw Alejandro,Unknown,,Music,Dec,12900000,11504090820.0,168,205548000.0,51400.0,822200.0,616600.0,9900000.0,100000.0,2014.0,11.0
EnriqueIglesiasVEVO,Music,EnriqueIglesiasVEVO,United States,US,Music,May,12900000,15446707595.0,137,75773000.0,18900.0,303100.0,227300.0,3600000.0,100000.0,2009.0,12.0
ýýýýýýýý ýýýý ýýýýýýýýýýýýýý,Shows,ýýýýýýýý ýýýý ýýýýýýýýýýýýýý,Ukraine,UA,Entertainment,Jul,12900000,5585085130.0,1255,71118000.0,17800.0,284500.0,213400.0,3400000.0,200000.0,2014.0,17.0
The Shiny Peanut,Education,The Shiny Peanut,Indonesia,ID,Entertainment,Oct,12900000,2848466522.0,2337,837700.0,209.0,3400.0,2500.0,40200.0,300000.0,2016.0,26.0
Talking Angela,Entertainment,Talking Angela,United Kingdom,GB,Film,Sep,12800000,3632438963.0,233,27957000.0,7000.0,111800.0,83900.0,1300000.0,162323.90436539392,2014.0,2.0
Melon City Show - ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,Comedy,Melon City Show - ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,Iraq,IQ,Comedy,Jan,12800000,5863456698.0,1727,35336000.0,8800.0,141300.0,106000.0,1700000.0,2420373.2913814974,2016.0,30.0
Duo Tiempo De Sol,Music,Duo Tiempo De Sol,Spain,ES,Education,Mar,12800000,6662288136.0,323,53988000.0,13500.0,216000.0,162000.0,2600000.0,100000.0,2013.0,26.0
Troom Troom India,Howto & Style,Troom Troom India,Unknown,,Howto,Apr,12800000,6804072897.0,2385,17270000.0,4300.0,69100.0,51800.0,829000.0,300000.0,2015.0,19.0
MrSuicideSheep,Entertainment,MrSuicideSheep,Canada,CA,Entertainment,Apr,12800000,6970899521.0,3483,18118000.0,4500.0,72500.0,54400.0,869600.0,10.0,2010.0,9.0
Adam W,Comedy,Adam W,United States,US,Comedy,Oct,12800000,9502983550.0,681,228951000.0,57200.0,915800.0,686900.0,11000000.0,200000.0,2015.0,4.0
Right to Shiksha,Education,Right to Shiksha,India,IN,Education,Apr,12800000,7876740921.0,2044,213738000.0,53400.0,855000.0,641200.0,10300000.0,300000.0,2020.0,23.0
Beyoncï¿½ï¿½,Music,Beyoncï¿½ï¿½,United States,US,Music,Sep,12800000,14185611472.0,168,89566000.0,22400.0,358300.0,268700.0,4300000.0,600000.0,2009.0,2.0
FACT FIRE KING,unknown,FACT FIRE KING,India,IN,Games,Jul,12700000,1159290255.0,782,51291000.0,12800.0,205200.0,153900.0,2500000.0,500000.0,2020.0,29.0
Ian Lucas,Entertainment,Ian Lucas,Unknown,,Entertainment,Apr,12700000,1450874545.0,50,48.0,0.0,0.0,0.0,0.0,8.0,2016.0,16.0
Franco Escamilla,Comedy,Franco Escamilla,Mexico,MX,Comedy,Oct,12700000,4266957149.0,2483,77482000.0,19400.0,309900.0,232400.0,3700000.0,100000.0,2007.0,19.0
Adexe & Nau,Music,Adexe & Nau,Spain,ES,Music,Dec,12700000,4579773883.0,594,10083000.0,2500.0,40300.0,30200.0,484000.0,400000.0,2013.0,22.0
Diana and Roma IND,unknown,Diana and Roma IND,United States,US,Entertainment,Nov,12700000,5567832210.0,534,46602000.0,11700.0,186400.0,139800.0,2200000.0,100000.0,2019.0,7.0
Jass Records,Music,JassRecords,Unknown,,Music,Feb,12700000,5958994201.0,1,1.0,0.0,0.0,0.0,0.05,3.0,2012.0,10.0
Future,Music,Future AMV's,United States,US,Film,Nov,12700000,9927699419.0,119,472367.0,118.0,1900.0,1400.0,22700.0,1000.0,2020.0,7.0
YoungBoy Never Broke Again,Entertainment,YoungBoy Never Broke Again,United States,US,Music,Jan,12700000,13174393401.0,142,169968000.0,42500.0,679900.0,509900.0,8200000.0,100000.0,2015.0,4.0
Blossom,Howto & Style,Blossom,United States,US,Howto,Jun,12700000,4733873025.0,812,43868000.0,11000.0,175500.0,131600.0,2100000.0,100000.0,2017.0,1.0
#Refï¿½ï¿½ï¿½ï¿½,Entertainment,#Refugio Mental,Unknown,,Entertainment,Aug,12700000,2709954270.0,846,6942000.0,1700.0,27800.0,20800.0,333200.0,200000.0,2013.0,10.0
Piuzinho,Gaming,Piuzinho,Brazil,BR,Games,May,12700000,1081285962.0,504,3619000.0,905.0,14500.0,10900.0,173700.0,100000.0,2015.0,13.0
Heidi y Zidane,unknown,Heidi y Zidane,United States,US,People,Dec,12700000,6001189018.0,600,16117000.0,4000.0,64500.0,48400.0,773600.0,500000.0,2019.0,2.0
Go Ami Go!,People & Blogs,Go Ami Go!,Colombia,CO,People,Dec,12700000,1714955279.0,252,327600000.0,81900.0,1300000.0,982800.0,15700000.0,1500000.0,2015.0,3.0
Morgz,Gaming,Morgz,United Kingdom,GB,Entertainment,Jun,12600000,3303595310.0,825,58838000.0,14700.0,235400.0,176500.0,2800000.0,100000.0,2014.0,10.0
CaseyNeistat,People & Blogs,CaseyNeistat,United States,US,People,Feb,12600000,3152402405.0,1101,5952000.0,1500.0,23800.0,17900.0,285700.0,100000.0,2010.0,15.0
ýýýýýýýýýSULGI,People & Blogs,ýýýýýýýýýSULGI,South Korea,KR,People,Nov,12600000,3485373675.0,683,113132000.0,28300.0,452500.0,339400.0,5400000.0,300000.0,2012.0,5.0
NickiMinajAtVEVO,Music,NickiMinajAtVEVO,United States,US,Music,Apr,12600000,8831179714.0,99,35027000.0,8800.0,140100.0,105100.0,1700000.0,100000.0,2010.0,1.0
Ellie Goulding,Music,Ellie Goulding,United Kingdom,GB,Music,Jan,12600000,6969178081.0,218,36681000.0,9200.0,146700.0,110000.0,1800000.0,500000.0,2007.0,29.0
colinfurze,Entertainment,colinfurze,United Kingdom,GB,Entertainment,Nov,12500000,1612094871.0,385,8482000.0,2100.0,33900.0,25400.0,407200.0,500000.0,2006.0,15.0
People Vs Food,Entertainment,People Vs Food,United States,US,Entertainment,Jul,12500000,1136534702.0,601,15340000.0,3800.0,61400.0,46000.0,736300.0,100000.0,2013.0,30.0
Wolfoo Family,unknown,Wolfoo Family,United States,US,Film,Oct,12500000,161254021.0,61,757789000.0,0.0,0.0,0.0,0.0,200000.0,2019.0,21.0
Ja Mill,People & Blogs,jamill,Unknown,,,Feb,12500000,1302818088.0,0,48034582.923461996,0.0,0.0,0.0,0.0,400000.0,2006.0,22.0
Health Time,Howto & Style,Health Time,India,IN,People,Sep,12500000,1002219689.0,1810,1395000.0,349.0,5600.0,4200.0,66900.0,500000.0,2016.0,25.0
Yair17,Gaming,Yair17,Mexico,MX,Games,Jan,12500000,1402042328.0,1109,8869000.0,2200.0,35500.0,26600.0,425700.0,200000.0,2014.0,22.0
Little Baby Bum en Espaï¿½ï,Education,Little Baby Bum en Espaï¿½ï,Spain,ES,Education,Jun,12500000,6956320454.0,1459,16319000.0,4100.0,65300.0,49000.0,783300.0,200000.0,2014.0,6.0
First We Feast,Howto & Style,First We Feast,United States,US,Entertainment,Feb,12500000,2983799729.0,1076,111252000.0,27800.0,445000.0,333800.0,5300000.0,200000.0,2014.0,28.0
Mï¿½ï¿½ï¿½ï¿½,Travel & Events,Mï¿½ï¿½ï¿½ï¿½,Mexico,MX,Entertainment,Jul,12500000,3140883140.0,766,31007000.0,7800.0,124000.0,93000.0,1500000.0,600000.0,2015.0,6.0
Bebefinn - Nursery Rhymes & Kids Songs,unknown,Bebefinn - Nursery Rhymes & Kids Songs,United States,US,Entertainment,Mar,12500000,4163639093.0,322,565459000.0,0.0,0.0,0.0,0.0,500000.0,2022.0,30.0
Troom Troom PT,Howto & Style,Troom Troom PT,Unknown,,Howto,Apr,12500000,4384177908.0,2738,13501000.0,3400.0,54000.0,40500.0,648100.0,500000.0,2015.0,19.0
Parafernalha,Entertainment,Parafernalha,Brazil,BR,Entertainment,May,12500000,4625777945.0,1888,7158000.0,1800.0,28600.0,21500.0,343600.0,1100000.0,2011.0,13.0
NDTV,Entertainment,NDTV,India,IN,News,May,12500000,4935793409.0,151136,58527000.0,14600.0,234100.0,175600.0,2800000.0,100000.0,2006.0,8.0
elcarteldesantatv,Music,elcarteldesantatv,Mexico,MX,Entertainment,Nov,12500000,7489455451.0,377,115881000.0,29000.0,463500.0,347600.0,5600000.0,100000.0,2008.0,27.0
Family Fitness,Entertainment,Family Fitness,India,IN,Entertainment,Jan,12500000,10384848759.0,1699,235715000.0,58900.0,942900.0,707100.0,11300000.0,400000.0,2017.0,18.0
Zee Tamil,Entertainment,Zee Tamil,India,IN,Entertainment,Aug,12500000,11552190002.0,102699,349940000.0,87500.0,1400000.0,1000000.0,16800000.0,200000.0,2008.0,26.0
Flowers Comedy,Entertainment,Flowers Comedy,India,IN,Entertainment,Aug,12500000,11691081301.0,11907,180021000.0,45000.0,720100.0,540100.0,8600000.0,100000.0,2015.0,19.0
Mundo Bita,Music,Mundo Bita,Brazil,BR,Music,Sep,12500000,16690788752.0,253,213700000.0,53400.0,854800.0,641100.0,10300000.0,100000.0,2011.0,29.0
Wave Music Bhakti,Music,Wave Music Bhakti,India,IN,Music,Apr,12500000,5146004207.0,19899,11079000.0,2800.0,44300.0,33200.0,531800.0,900000.0,2011.0,19.0
Troom Troom Indonesia,People & Blogs,TROOM TROOM INDONESIA,Unknown,,People,Jul,12500000,5379684248.0,8,1.0,0.0,0.0,0.0,0.05,1968284.2036308444,2020.0,29.0
CKM,Comedy,CKM,India,IN,Comedy,Feb,12500000,4465772496.0,117,13142000.0,3300.0,52600.0,39400.0,630800.0,400000.0,2018.0,20.0
Quantum Tech HD,Science & Technology,Mr_Mughall Gaming,Pakistan,PK,,Apr,12500000,4340213066.0,223,8721.0,2.0,35.0,26.0,419.0,32.0,2022.0,23.0
_vector_,Comedy,_vector_,United States,US,Comedy,Mar,12400000,7597013023.0,398,903672000.0,225900.0,3600000.0,2700000.0,43400000.0,1200000.0,2019.0,24.0
DEV Ke Facts,unknown,DEV Ke Facts,India,IN,Education,Sep,12400000,1971226335.0,218,273670000.0,68400.0,1100000.0,821000.0,13100000.0,600000.0,2012.0,29.0
Hero Movies 2023,People & Blogs,Hero Movies 2023,Unknown,,People,Feb,12400000,1689090619.0,689,21837000.0,5500.0,87300.0,65500.0,1000000.0,500000.0,2017.0,22.0
LOUD,Gaming,WatchLOUD,United States,US,Entertainment,Jan,12400000,2394143260.0,690,27596.0,7.0,110.0,83.0,1300.0,200000.0,2006.0,4.0
Gibby :),People & Blogs,Gibby :),Mexico,MX,People,Aug,12400000,2862685032.0,226,10278000.0,2600.0,41100.0,30800.0,493300.0,200000.0,2014.0,30.0
Gustavo Parï¿½ï¿½,Comedy,GustavoParodias,Brazil,BR,Comedy,Aug,12400000,2602614088.0,9,8464317.881537182,0.0,0.0,0.0,0.0,1.0,2010.0,24.0
SAAIHALILINTAR,Entertainment,SAAIHALILINTAR,Indonesia,ID,Entertainment,Apr,12400000,1113066203.0,409,806075.0,202.0,3200.0,2400.0,38700.0,726876.3285100362,2012.0,28.0
Timba Vk,Gaming,Timba Vk,Spain,ES,Games,Jun,12400000,2840137980.0,1024,24022000.0,6000.0,96100.0,72100.0,1200000.0,100000.0,2012.0,16.0
Heidi and Zidane HZHtube,Entertainment,Heidi and Zidane HZHtube,Canada,CA,Entertainment,Nov,12400000,4021409291.0,813,9595000.0,2400.0,38400.0,28800.0,460600.0,100000.0,2015.0,24.0
DaniRep | +6 Vï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,Gaming,DaniRep | +6 Vï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,Spain,ES,Games,Oct,12400000,6933660906.0,12419,82648000.0,20700.0,330600.0,247900.0,4000000.0,100000.0,2012.0,29.0
Zee Kids,Film & Animation,Zee Kids,India,IN,Entertainment,Jul,12400000,7683670251.0,1212,95163000.0,23800.0,380700.0,285500.0,4600000.0,100000.0,2012.0,6.0
Pari's Lifestyle,People & Blogs,Pari's Lifestyle,India,IN,People,Nov,12400000,7741764747.0,459,38165000.0,9500.0,152700.0,114500.0,1800000.0,100000.0,2018.0,26.0
DisneyChannelUK,Music,DisneyChannelUK,United Kingdom,GB,Entertainment,Dec,12400000,12607488647.0,4422,34758000.0,8700.0,139000.0,104300.0,1700000.0,100000.0,2007.0,6.0
MoniLina,Comedy,MoniLinaFamily,United States,US,People,May,12400000,16086808918.0,0,26908200.00606479,0.0,0.0,0.0,0.0,100.0,2016.0,10.0
bharatzkitchen HINDI,Howto & Style,bharatzkitchen HINDI,India,IN,Howto,Aug,12400000,2315226648.0,729,30968000.0,7700.0,123900.0,92900.0,1500000.0,100000.0,2016.0,10.0
TKOR,Education,TKoR,Unknown,,People,Aug,12400000,3392022527.0,0,43125744.7217352,0.0,0.0,0.0,0.0,100000.0,2006.0,16.0
ANNA KOVA,People & Blogs,annakova,Unknown,,Film,Jun,12400000,13959586308.0,1,2.0,0.0,0.01,0.01,0.1,200000.0,2006.0,18.0
Avril Lavigne,Music,Avril Lavigne,United States,US,Music,Oct,12400000,6202090191.0,205,50188000.0,12500.0,200800.0,150600.0,2400000.0,400000.0,2005.0,8.0
Caylus,Education,Caylus,United States,US,Games,Apr,12400000,4779139505.0,1340,177600000.0,44400.0,710400.0,532800.0,8500000.0,400000.0,2016.0,6.0
Migos ATL,Music,Migos ATL,United States,US,Entertainment,Jan,12400000,6993406259.0,99,49412000.0,12400.0,197600.0,148200.0,2400000.0,100000.0,2012.0,17.0
Natan por Aï¿,Sports,Natan por Aï¿,Brazil,BR,Entertainment,Feb,12300000,9029609749.0,1200,552513000.0,138100.0,2200000.0,1700000.0,26500000.0,700000.0,2017.0,12.0
Free Fire India Official,People & Blogs,Free Fire India Official,India,IN,Games,Sep,12300000,1674409945.0,1500,64735000.0,16200.0,258900.0,194200.0,3100000.0,300000.0,2018.0,14.0
Panda,unknown,HybridPanda,United Kingdom,GB,Games,Sep,12300000,2214684303.0,2452,67035.0,17.0,268.0,201.0,3200.0,1000.0,2006.0,11.0
RobTopGames,Gaming,RobTopGames,Sweden,SE,Games,May,12300000,374123483.0,39,3871000.0,968.0,15500.0,11600.0,185800.0,100000.0,2012.0,9.0
Make Joke Of,Comedy,Make Joke Of,India,IN,Comedy,Aug,12300000,2129773714.0,62,24000000.0,6000.0,96000.0,72000.0,1200000.0,100000.0,2017.0,1.0
